" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Wed May 14 16:02:04 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 37 , 135  
 Last Row , 1 , 34 , 132 , 152  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47560e-05, -2.15613e-03, -3.32886e-03,
     2,  1.69814e-01, -9.03575e-02, -4.80386e-02, -1.39891e-03,  6.05967e-04, -4.78749e-03,
     3,    0.0,        0.0,        0.0,     -8.93343e-04, -6.74001e-04, -2.60330e-03,
     4, -6.55602e-02, -5.20455e-01,  2.01804e-01, -3.17409e-03, -7.92984e-04, -2.71843e-03,
     5,  9.65868e-02, -5.55047e-01, -1.12012e-01, -3.41652e-03,  1.12436e-04, -2.26225e-03,
     6, -2.83458e-03, -2.26480e-01,  5.42658e-02, -2.67648e-03, -3.06859e-04, -2.04857e-03,
     7, -2.56412e-02, -6.67426e-01,  2.30687e-01, -3.06363e-03, -2.25109e-04, -6.34703e-04,
     8,  2.28603e-02, -6.66263e-01, -7.27391e-02, -3.10489e-03, -1.88366e-04, -6.09562e-04,
     9, -6.24368e-03, -3.65878e-01,  7.96325e-02, -2.92092e-03, -1.95846e-04, -6.64557e-04,
    10,  1.44544e-02, -6.68660e-01,  2.65090e-01, -3.33103e-03,  1.60441e-04,  1.12466e-03,
    11, -8.95290e-02, -7.02992e-01, -6.38949e-02, -3.45034e-03, -1.64934e-04,  1.33292e-03,
    12, -6.17191e-03, -3.58396e-01,  1.09320e-01, -3.08641e-03,  9.59793e-05,  6.31628e-04,
    13,  8.41819e-03, -4.04278e-01,  1.73088e-01, -1.81138e-03,  1.55451e-03,  3.22328e-03,
    14, -2.00841e-01, -4.05835e-01, -3.25511e-03, -1.66672e-03,  2.21851e-04,  2.97170e-03,
    15, -6.03377e-03, -2.28961e-01,  8.57518e-02, -1.69870e-03,  7.13161e-04,  2.22846e-03,
    16,    0.0,        0.0,        0.0,     -3.83567e-05,  1.44897e-03,  2.71505e-03,
    17, -2.05181e-01, -1.87788e-02, -9.51121e-03, -1.19434e-04, -2.51455e-04,  5.03312e-03,
    18,    0.0,        0.0,        0.0,     -4.46662e-04,  9.02012e-04,  2.47394e-03,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  2.62037e+02, -1.56087e+01, -5.61240e-01, -1.58821e+01, -1.32980e+01, -6.76768e+02,
     1,     2, -2.62037e+02,  1.56087e+01,  8.44471e-01,  1.58821e+01,  7.09957e+01, -8.39600e+02,
     2,     2, -6.49317e+00, -8.45186e-01,  6.78724e-01, -1.29912e+01, -4.87873e+01, -3.90832e+01,
     2,     3,  6.77641e+00,  8.45186e-01, -5.37108e-01,  1.29912e+01, -1.98585e+01, -5.65382e+01,
     3,     1,  2.83231e-01, -3.19201e-01, -9.31958e-01, -6.74649e+00,  3.20054e+01,  3.40938e+01,
     3,     3,  2.83231e-01,  3.19201e-01,  1.21519e+00,  6.74649e+00,  8.80237e+01, -6.97816e+01,
     4,     1,  1.90125e+02,  1.30503e+01, -1.25649e+00,  1.87384e+01,  4.93574e+01,  6.67555e+02,
     4,     4, -1.90125e+02, -1.30503e+01,  1.53972e+00, -1.87384e+01,  1.28821e+02,  7.36430e+02,
     5,     2,  2.12360e+02,  6.11607e+01,  9.15710e-01,  1.16012e+01, -3.44187e+01,  1.13205e+03,
     5,     5, -2.12360e+02,  4.88393e+01, -6.32479e-01, -1.16012e+01, -5.65762e+01, -4.17297e+02,
     6,     3,  1.64405e+01, -4.32630e-01,  1.20923e-01,  1.02530e+01, -6.75581e+00, -5.18680e+01,
     6,     6, -1.64405e+01,  4.32630e-01,  4.45540e-01, -1.02530e+01,  2.38788e+01,  1.23285e+01,
     7,     3,  9.05669e+00,  9.31489e-01, -1.44236e-01,  5.38230e+00,  4.16075e+01,  1.26508e+02,
     7,     4, -9.33992e+00, -9.31489e-01,  4.60898e-01, -5.38230e+00,  6.22883e+00,  1.77673e+01,
     8,     2, -2.82349e+02, -5.02330e-01, -4.44407e-01,  1.08165e+00,  5.90873e+01, -1.93693e+02,
     8,     4,  2.82349e+02,  5.02330e-01,  8.44956e-01, -1.08165e+00, -3.84583e+01, -1.02096e+01,
     9,     2,  6.16910e+00,  1.07077e-01,  1.01470e-01, -4.90098e+00,  3.53595e+01, -8.90673e+01,
     9,     6, -5.60263e+00, -1.07077e-01,  5.31854e-01,  4.90098e+00, -2.26485e+00,  1.06300e+02,
    10,     4,  1.00317e+02, -5.76962e+00, -6.90944e-01, -5.20617e+00,  1.66994e+01, -3.06425e+02,
    10,     5, -1.00317e+02,  5.76962e+00,  9.74175e-01,  5.20617e+00,  3.50754e+01, -2.54270e+02,
    11,     5, -4.48467e+00, -8.37721e-01, -6.00936e-01, -1.94731e+00,  1.61531e+01, -3.25501e+01,
    11,     6,  4.76790e+00,  8.37721e-01,  7.42552e-01,  1.94731e+00,  5.72466e+01, -6.15700e+01,
    12,     4,  2.83724e+00, -6.98576e-02,  1.78364e-01, -4.19947e+00,  7.78222e+00,  3.18705e+00,
