" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example F: a seismically-isolated building model (units: N  mm  ton)                "
" Wed May 14 16:02:04 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 55 , 173  
 Last Row , 1 , 52 , 170 , 208  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,      1.36483e+00,    0.0,     -1.26558e-05, -4.12593e-06,    0.0,    
     2,    0.0,      1.36483e+00, -1.99861e-03, -1.26342e-05, -1.21133e-06,    0.0,    
     3,    0.0,      1.36487e+00, -1.83208e-03,  1.19683e-05, -1.06616e-06,    0.0,    
     4,    0.0,      1.36488e+00,    0.0,      1.18529e-05, -4.12514e-06,    0.0,    
     5,    0.0,      1.36510e+00,    0.0,     -2.02577e-05,    0.0,        0.0,    
     6,    0.0,      1.36513e+00, -2.08364e-02,  3.77039e-08,    0.0,        0.0,    
     7,    0.0,      1.36516e+00,    0.0,      1.98285e-05,    0.0,        0.0,    
     8,    0.0,      1.36482e+00,    0.0,     -1.28569e-05,  4.12643e-06,    0.0,    
     9,    0.0,      1.36482e+00, -2.02409e-03, -1.28382e-05,  1.21415e-06,    0.0,    
    10,    0.0,      1.36487e+00, -1.98526e-03,  1.23871e-05,  1.21391e-06,    0.0,    
    11,    0.0,      1.36487e+00,    0.0,      1.23094e-05,  4.12561e-06,    0.0,    
    12,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    13,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    14,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    15,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    16,  2.72989e-05,  1.39086e+00, -1.04082e-01, -5.89436e-05, -6.19999e-06, -6.42914e-08,
    17,  1.81757e-05,  1.39096e+00, -1.04366e-01,  5.04424e-05, -6.21554e-06, -4.95008e-08,
    18,  5.04955e-06,  1.39100e+00, -1.07268e-01, -5.55165e-05,    0.0,      1.26836e-08,
    19,  1.91668e-07,  1.39104e+00, -1.63171e-01,  1.64529e-06,    0.0,        0.0,    
    20, -4.80553e-06,  1.39108e+00, -1.07598e-01,  4.68170e-05,    0.0,      1.28826e-08,
    21, -1.72104e-05,  1.39081e+00, -1.04082e-01, -5.89155e-05,  6.20366e-06,  8.36061e-08,
    22, -2.77726e-05,  1.39091e+00, -1.04366e-01,  5.04071e-05,  6.21186e-06,  6.91352e-08,
    23,  6.74763e-05,  1.41671e+00, -1.70670e-01, -5.06011e-05, -5.76714e-06, -7.05075e-07,
    24,  5.89249e-05,  1.41679e+00, -1.71109e-01,  4.30005e-05, -5.78145e-06, -7.03832e-07,
    25,  7.49871e-06,  1.41838e+00, -1.75869e-01, -4.93011e-05,    0.0,        0.0,    
    26,  1.22259e-07,  1.41842e+00, -2.27236e-01,  1.71428e-06,    0.0,        0.0,    
    27, -7.23991e-06,  1.41846e+00, -1.76397e-01,  3.97894e-05,    0.0,        0.0,    
    28, -5.24725e-05,  1.41668e+00, -1.70670e-01, -5.06064e-05,  5.76837e-06,  7.19772e-07,
    29, -7.34116e-05,  1.41676e+00, -1.71110e-01,  4.30012e-05,  5.78023e-06,  7.18497e-07,
    30, -1.86737e-04,  1.43398e+00, -2.01093e-01, -6.89735e-05, -1.06541e-05, -4.21043e-06,
    31, -1.70745e-04,  1.43365e+00, -2.01578e-01,  6.52663e-05, -1.06903e-05, -4.22052e-06,
    32,  8.18752e-06,  1.44402e+00, -2.07303e-01, -6.65397e-05,    0.0,        0.0,    
    33,  1.31397e-07,  1.44395e+00, -2.72160e-01,  8.53540e-07,    0.0,        0.0,    
    34, -7.92629e-06,  1.44370e+00, -2.07896e-01,  6.10022e-05,    0.0,        0.0,    
    35,  2.03117e-04,  1.43396e+00, -2.01093e-01, -6.89738e-05,  1.06546e-05,  4.22372e-06,
    36,  1.54887e-04,  1.43363e+00, -2.01578e-01,  6.52652e-05,  1.06898e-05,  4.23381e-06,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  3.26552e+04,  2.62222e+01,  4.04763e+01,  2.67370e-01, -3.11208e+04,  1.32789e+04,
     1,    16, -3.22737e+04, -2.62222e+01, -4.04763e+01, -2.67370e-01, -3.61449e+04,  2.95327e+04,
     2,    16,  2.17543e+04,  5.37236e+01,  5.02449e+01,  2.76810e+00, -4.07398e+04,  4.42534e+04,
     2,    23, -2.13951e+04, -5.37236e+01, -5.02449e+01, -2.76810e+00, -3.96488e+04,  4.11748e+04,
     3,    23,  1.08594e+04,  7.83047e+01,  7.75079e+01,  1.64260e+01, -5.04689e+04,  5.39438e+04,
     3,    30, -1.05252e+04, -7.83047e+01, -7.75079e+01, -1.64260e+01, -6.38503e+04,  6.13725e+04,
     4,     4,  3.27440e+04, -5.95750e+01,  4.04912e+01,  2.05860e-01, -3.11132e+04, -4.30657e+04,
     4,    17, -3.23625e+04,  5.95750e+01, -4.04912e+01, -2.05860e-01, -3.61769e+04, -5.66151e+04,
     5,    17,  2.18044e+04, -8.66663e+01,  5.03727e+01,  2.82663e+00, -4.08436e+04, -7.09287e+04,
     5,    24, -2.14452e+04,  8.66663e+01, -5.03727e+01, -2.82663e+00, -3.97495e+04, -6.81826e+04,
     6,    24,  1.08754e+04, -1.06535e+02,  7.79116e+01,  1.64791e+01, -5.07368e+04, -7.41342e+04,
     6,    31, -1.05412e+04,  1.06535e+02, -7.79116e+01, -1.64791e+01, -6.41780e+04, -8.31370e+04,
     7,     5,  3.36492e+04,  2.90071e+01,  2.36485e-02, -5.27474e-02, -1.98657e+01,  1.75235e+04,
     7,    18, -3.32677e+04, -2.90071e+01, -2.36485e-02,  5.27474e-02, -1.95814e+01,  2.98933e+04,
     8,    18,  2.24062e+04,  4.91551e+01,  1.24595e-02,  1.86690e-02, -9.93439e+00,  4.01838e+04,
     8,    25, -2.20471e+04, -4.91551e+01, -1.24595e-02, -1.86690e-02, -1.00482e+01,  3.78913e+04,
     9,    25,  1.12148e+04,  6.61022e+01,  4.40075e-03,  6.03143e-03, -3.23658e+00,  4.51323e+04,
     9,    32, -1.08806e+04, -6.61022e+01, -4.40075e-03, -6.03143e-03, -3.26110e+00,  5.21008e+04,
    10,     7,  3.37522e+04, -6.22164e+01, -2.22617e-02, -5.35751e-02,  1.84868e+01, -4.73079e+04,
    10,    20, -3.33706e+04,  6.22164e+01,  2.22617e-02,  5.35751e-02,  1.86490e+01, -5.67754e+04,
    11,    20,  2.24704e+04, -8.32425e+01, -1.26216e-02,  1.96169e-02,  1.01457e+01, -6.81359e+04,
    11,    27, -2.21112e+04,  8.32425e+01,  1.26216e-02, -1.96169e-02,  1.00961e+01, -6.55440e+04,
    12,    27,  1.12376e+04, -1.09634e+02, -4.37474e-03,  5.92608e-03,  3.20987e+00, -7.66766e+04,
    12,    34, -1.09034e+04,  1.09634e+02,  4.37474e-03, -5.92608e-03,  3.24943e+00, -8.52515e+04,
    13,     8,  3.26552e+04,  2.63697e+01, -4.04453e+01, -3.47694e-01,  3.10911e+04,  1.34423e+04,
    13,    21, -3.22737e+04, -2.63697e+01,  4.04453e+01,  3.47694e-01,  3.61229e+04,  2.96156e+04,
    14,    21,  2.17542e+04,  5.36905e+01, -5.02398e+01, -2.74815e+00,  4.07387e+04,  4.42206e+04,
    14,    28, -2.13951e+04, -5.36905e+01,  5.02398e+01,  2.74815e+00,  3.96416e+04,  4.11543e+04,
    15,    28,  1.08594e+04,  7.83027e+01, -7.75070e+01, -1.64193e+01,  5.04694e+04,  5.39434e+04,
    15,    35, -1.05252e+04, -7.83027e+01,  7.75070e+01,  1.64193e+01,  6.38486e+04,  6.13700e+04,
    16,    11,  3.27440e+04, -5.98076e+01, -4.05235e+01, -2.87514e-01,  3.11453e+04, -4.33444e+04,
    16,    22, -3.23625e+04,  5.98076e+01,  4.05235e+01,  2.87514e-01,  3.61989e+04, -5.67213e+04,
    17,    22,  2.18044e+04, -8.66605e+01, -5.03777e+01, -2.80516e+00,  4.08445e+04, -7.09176e+04,
    17,    29, -2.14453e+04,  8.66605e+01,  5.03777e+01,  2.80516e+00,  3.97566e+04, -6.81848e+04,
    18,    29,  1.08754e+04, -1.06541e+02, -7.79125e+01, -1.64726e+01,  5.07365e+04, -7.41391e+04,
