" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example G: a building with a set-back (units: in  kip)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  6.65878e-04,  5.08264e-01, -2.25796e-02, -1.05503e-02,  1.34473e-03,  1.66368e-05,
     5, -6.65878e-04,  5.08264e-01, -2.25796e-02, -1.05503e-02, -1.34473e-03, -1.66368e-05,
     6,    0.0,      5.10151e-01, -7.30375e-02, -7.99276e-03,    0.0,        0.0,    
     7,  9.75670e-04,  2.08317e+00, -4.16977e-02, -1.79035e-02,  1.39908e-04,  1.07081e-05,
     8, -9.75670e-04,  2.08317e+00, -4.16977e-02, -1.79035e-02, -1.39908e-04, -1.07081e-05,
     9,    0.0,      2.08394e+00, -1.45691e-01, -1.43175e-02,    0.0,        0.0,    
    10, -3.90400e-04,  5.18306e+00, -5.77086e-02, -2.42774e-02, -1.26045e-03, -5.41261e-06,
    11,  3.90400e-04,  5.18306e+00, -5.77086e-02, -2.42774e-02,  1.26045e-03,  5.41261e-06,
    12,    0.0,      5.18228e+00, -2.09818e-01, -1.90192e-02,    0.0,        0.0,    
    13,  2.25844e-03,  1.10143e+01, -7.20791e-02, -2.13331e-02,  7.93254e-04,  8.09737e-05,
    14, -2.25844e-03,  1.10143e+01, -7.20791e-02, -2.13331e-02, -7.93254e-04, -8.09737e-05,
    15,    0.0,      1.10236e+01, -2.54848e-01, -1.04237e-02,    0.0,        0.0,    
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  8.19642e+02, -4.89910e+01, -3.33832e+01, -1.19577e+00,  8.54928e+02, -5.93455e+03,
     1,     4, -8.17376e+02,  4.89910e+01,  3.33832e+01,  1.19577e+00,  1.81518e+03,  1.59925e+03,
     2,     2,  8.19642e+02, -4.89910e+01,  3.33832e+01,  1.19577e+00, -8.54928e+02, -5.93455e+03,
     2,     5, -8.17376e+02,  4.89910e+01, -3.33832e+01, -1.19577e+00, -1.81518e+03,  1.59925e+03,
     3,     3,  2.64874e+03, -1.02018e+02,      0.0,       0.0,       0.0,  -7.51236e+03,
     3,     6, -2.64648e+03,  1.02018e+02,      0.0,       0.0,       0.0,  -1.99976e+03,
     4,     4,  5.55843e+02, -4.15435e+01, -2.44173e+01,  3.40902e-01,  1.56461e+03, -4.61224e+03,
     4,     7, -5.53011e+02,  4.15435e+01,  2.44173e+01, -3.40902e-01,  8.76944e+02, -4.15287e+02,
     5,     5,  5.55843e+02, -4.15435e+01,  2.44173e+01, -3.40902e-01, -1.56461e+03, -4.61224e+03,
     5,     8, -5.53011e+02,  4.15435e+01, -2.44173e+01,  3.40902e-01, -8.76944e+02, -4.15287e+02,
     6,     6,  2.10837e+03, -1.16913e+02,      0.0,       0.0,       0.0,  -9.22671e+03,
     6,     9, -2.10554e+03,  1.16913e+02,      0.0,       0.0,       0.0,  -5.78047e+03,
     7,     7,  3.59007e+02, -4.63809e+01,  1.09593e+01,  7.13032e-01, -4.05138e+02, -4.96554e+03,
     7,    10, -3.55325e+02,  4.63809e+01, -1.09593e+01, -7.13032e-01, -1.01908e+03, -2.17115e+03,
     8,     8,  3.59007e+02, -4.63809e+01, -1.09593e+01, -7.13032e-01,  4.05138e+02, -4.96554e+03,
     8,    11, -3.55325e+02,  4.63809e+01,  1.09593e+01,  7.13032e-01,  1.01908e+03, -2.17115e+03,
     9,     9,  1.43237e+03, -1.07238e+02,      0.0,       0.0,       0.0,  -1.01626e+04,
     9,    12, -1.42869e+03,  1.07238e+02,      0.0,       0.0,       0.0,  -8.21064e+03,
    10,    10,  2.11204e+02, -4.82312e+01,  2.10801e+00, -2.48361e+00, -5.01732e+02, -5.01396e+03,
    10,    13, -2.05539e+02,  4.82312e+01, -2.10801e+00,  2.48361e+00,  7.95785e+01, -5.84734e+03,
    11,    11,  2.11204e+02, -4.82312e+01, -2.10801e+00,  2.48361e+00,  5.01732e+02, -5.01396e+03,
    11,    14, -2.05539e+02,  4.82312e+01,  2.10801e+00, -2.48361e+00, -7.95785e+01, -5.84734e+03,
    12,    12,  6.55759e+02, -1.03538e+02,      0.0,       0.0,       0.0,  -1.11079e+04,
    12,    15, -6.50094e+02,  1.03538e+02,      0.0,       0.0,       0.0,  -1.34136e+04,
    13,     4,  1.93105e+01,      0.0,   2.38932e+02,      0.0,  -7.57530e+03,  4.81398e+00,
    13,     5, -1.93105e+01,      0.0,   2.38932e+02,      0.0,   7.57530e+03, -4.81398e+00,
    14,     5, -1.27454e+01,  1.69034e-01,  2.26006e+01,  6.23696e+01,  5.16493e+03,  6.34964e+00,
    14,     6,  1.27454e+01, -1.69034e-01,  2.69053e+02, -6.23696e+01,  9.87742e+03,  1.42590e+01,
    15,     6, -1.27454e+01, -1.69034e-01,  2.69053e+02, -6.23696e+01, -9.87742e+03, -1.42590e+01,
    15,     4,  1.27454e+01,  1.69034e-01,  2.26006e+01,  6.23696e+01, -5.16493e+03, -6.34964e+00,
    16,     7,  2.82944e+01,      0.0,   2.38932e+02,      0.0,  -7.92397e+03,  3.09526e+00,
    16,     8, -2.82944e+01,      0.0,   2.38932e+02,      0.0,   7.92397e+03, -3.09526e+00,
