" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     5,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     6,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     7,    0.0,        0.0,        0.0,      2.45789e-04,  3.57490e-05,  1.39085e-06,
     8,  1.05972e-03,  4.33485e-05, -2.84881e-02, -6.79905e-07,  8.28467e-04, -2.98279e-06,
     9,  6.88586e-03, -3.84366e-04, -5.19705e-02,  5.54004e-06, -1.02380e-03, -8.44151e-06,
    10,  6.76900e-03, -1.06302e-03, -2.32779e-02,  1.26730e-05, -1.54960e-05, -1.01215e-05,
    11,    0.0,        0.0,        0.0,     -5.66194e-05,  1.09739e-04,  2.02574e-06,
    12,  4.02079e-04,  1.83623e-04, -7.50272e-02,  1.46931e-07,  9.49548e-04, -1.93871e-06,
    13,  2.94331e-03, -1.37118e-03, -9.33640e-02,  9.02758e-06, -9.07539e-04, -1.37301e-05,
    14,  3.13999e-03, -2.90751e-03, -4.20308e-02,  1.38451e-05, -1.09120e-04, -1.91081e-05,
    15,    0.0,        0.0,        0.0,      1.95858e-05,  1.52099e-04,  2.10194e-06,
    16,  1.28963e-04,  1.28966e-04, -1.11339e-01,  2.59104e-06,  9.91602e-04, -3.52841e-06,
    17,  2.13853e-03, -2.64169e-03, -1.24371e-01,  9.79295e-06, -9.63765e-04, -1.55351e-05,
    18,  2.32891e-03, -4.55606e-03, -5.60808e-02,  1.09045e-05, -7.74250e-05, -2.16725e-05,
    19,    0.0,        0.0,        0.0,     -3.49260e-05,  1.99465e-04,  1.25819e-06,
    20,  1.57207e-04, -1.25446e-04, -1.37680e-01,  4.04991e-06,  1.01763e-03, -6.58669e-06,
    21,  2.22629e-03, -3.85911e-03, -1.45099e-01,  8.68603e-06, -8.63520e-04, -1.37383e-05,
    22,  1.94322e-03, -5.76796e-03, -6.53075e-02,  7.66747e-06, -2.06641e-04, -2.19072e-05,
    23,    0.0,        0.0,        0.0,      1.43614e-04,  1.60559e-04,  1.10329e-06,
    24, -1.41808e-03, -4.26216e-04, -1.54221e-01,  4.19446e-06,  1.05398e-03, -1.41682e-05,
    25, -1.96832e-02, -4.82944e-03, -1.55655e-01,  6.14721e-06, -2.00473e-03, -1.80882e-05,
    26, -1.99068e-02, -6.59963e-03, -6.96462e-02,  5.13638e-06, -2.79706e-04, -1.84947e-05,
    27,    0.0,        0.0,        0.0,     -6.37029e-04,  4.63512e-04, -6.35447e-06,
    28,  1.30019e-03, -7.56511e-04, -1.61056e-01,  7.75013e-06,  1.09439e-03,  4.72007e-06,
    29,  1.33455e-04, -1.67549e-03, -1.37958e-02,  2.35625e-04,  1.88346e-05, -7.22000e-06,
    30,  5.10895e-04, -2.17892e-03, -2.75991e-02,  2.01705e-04,  2.72955e-05, -1.41345e-05,
    31,  2.84954e-03, -4.22344e-04, -5.26846e-02, -2.93948e-04,  2.32880e-05, -1.52271e-05,
    32,  4.91201e-03,  7.20215e-04, -6.39643e-02, -2.77967e-04,  2.70587e-05, -1.55479e-05,
    33,  3.96521e-03,  5.23124e-04, -8.65302e-02,  2.74297e-04, -1.03984e-05, -1.99566e-05,
    34,  1.59392e-03, -4.27294e-04, -9.78237e-02,  2.75599e-04, -7.92676e-06, -1.75079e-05,
    35,  2.40038e-03, -7.75721e-04, -1.17878e-01, -2.55270e-04, -7.69859e-06, -1.69733e-05,
    36,  3.40360e-03, -1.39353e-04, -1.26626e-01, -2.54888e-04, -3.22755e-05, -1.81032e-05,
    37,  9.60520e-04, -4.47852e-04, -1.44164e-01,  2.71248e-04, -2.07202e-05, -1.94612e-05,
    38, -8.76728e-05, -1.39582e-03, -1.52962e-01,  2.74368e-04,  8.83711e-06, -1.90927e-05,
    39,  1.92099e-03, -2.12707e-03, -1.67998e-01, -2.41893e-04,  1.13807e-05, -1.89396e-05,
    40,  2.66861e-03, -1.50036e-03, -1.74227e-01, -2.52438e-04, -1.45123e-05, -1.88311e-05,
    41,  4.93600e-04, -1.41449e-03, -1.86757e-01,  2.53053e-04, -8.63421e-06, -1.79184e-05,
    42, -2.95062e-04, -3.21116e-03, -1.93061e-01,  2.79713e-04,  1.65156e-05, -1.98324e-05,
    43,  2.13522e-03, -4.81677e-03, -2.03095e-01, -1.75689e-04,  8.64537e-06, -1.64334e-05,
    44,  2.95168e-03, -2.98866e-03, -2.06818e-01, -1.83301e-04, -4.65527e-05, -1.11046e-05,
    45, -1.77361e-03, -6.70789e-03, -2.14355e-01,  3.14449e-04, -1.10336e-04, -8.61341e-06,
    46, -3.02470e-03, -1.17573e-02, -2.18166e-01,  2.39602e-04, -4.72654e-05, -2.46249e-05,
    47, -3.77473e-03, -7.47339e-03, -2.23196e-01, -4.76956e-04, -3.50789e-05, -2.79965e-05,
    48, -9.68808e-03, -4.00796e-03, -2.24434e-01, -4.09471e-04, -9.20051e-05, -2.10394e-05,
